# text = vascular membrane that lines the inner surface of long bones
# id = 05319144-n-1
# type = def
1	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	0:8
10	opening	wf	NN	opening%1|open%2|opening%3	opening%1:17:00::	man	52:59
11	of	wf	IN	of	_	ignore	60:62
12	the	wf	DT	the	_	ignore	63:66
13	ear	wf	NN	ear%1	ear%1:08:00::	man	67:70

# text = a slight rounded elevation where the malleus attaches to the eardrum
# id = 05324553-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	slight	wf	JJ	slight%1|slight%2|slight%3	_	un	2:8
3	rounded	wf	JJ	round%2|rounded%3	rounded%3:00:00::	man	9:16
4	elevation	wf	NN	elevation%1	elevation%1:07:00::	man	17:26
5	where	wf	WRB	where	_	ignore	27:32
6	the	wf	DT	the	_	ignore	33:36
7	malleus	wf	NN	malleus%1	malleus%1:08:00::	auto	37:44
8	attaches	wf	VBZ	attache%1|attach%2	attach%2:35:02::	man	45:53
9	to	wf	TO	to	_	ignore	54:56
10	the	wf	DT	the	_	ignore	57:60
11	eardrum	wf	NN	eardrum%1	eardrum%1:08:00::	auto	61:68

# text = fenestra leading into the cochlea
# id = 05325786-n-1
# type = def
1	fenestra	wf	NN	fenestra%1	fenestra%1:08:00::	auto	0:8
2	leading	wf	VBG	leading%1|lead%2|leading%3	_	un	9:16
3	into	wf	IN	into	_	ignore	17:21
4	the	wf	DT	the	_	ignore	22:25
5	cochlea	wf	NN	cochlea%1	cochlea%1:08:00::	auto	26:33

# text = the ossicle attached to the eardrum
# id = 05325943-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	ossicle	wf	NN	ossicle%1	ossicle%1:08:00::	auto	4:11
3	attached	wf	VBN	attach%2|attached%3	attach%2:35:02::	man	12:20
4	to	wf	TO	to	_	ignore	21:23
5	the	wf	DT	the	_	ignore	24:27
6	eardrum	wf	NN	eardrum%1	eardrum%1:08:00::	auto	28:35

# text = fenestra that has the base of the stapes attached to it
# id = 05325606-n-1
# type = def
1	fenestra	wf	NN	fenestra%1	fenestra%1:08:00::	auto	0:8
2	that	wf	WDT	that	_	ignore	9:13
3	has	wf	VBZ	have%2	_	un	14:17
4	the	wf	DT	the	_	ignore	18:21
5	base	wf	NN	base%1|base%2|base%3	_	un	22:26
6	of	wf	IN	of	_	ignore	27:29
7	the	wf	DT	the	_	ignore	30:33
8	stapes	wf	NNS	stapes%1	stapes%1:08:00::	auto	34:40
9	attached	wf	VBN	attach%2|attached%3	attach%2:35:02::	man	41:49
10	to	wf	TO	to	_	ignore	50:52
11	it	wf	PRP	it	_	ignore	53:55

# text = an eardrum with a hole or tear in it; can interfere with normal hearing and cause other ear problems
# id = 05324388-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	eardrum	wf	NN	eardrum%1	eardrum%1:08:00::	auto	3:10
3	with	wf	IN	with	_	ignore	11:15
4	a	wf	DT	a	_	ignore	16:17
5	hole	wf	NN	hole%1|hole%2	hole%1:17:01::	man	18:22
6	or	wf	CC	or	_	ignore	23:25
7	tear	wf	NN	tear%1|tear%2	tear%1:17:00::	man	26:30
8	in	wf	IN	in	_	ignore	31:33
9	it	wf	PRP	it	_	ignore	34:36
10	;	wf	punc	_	_	ignore	36:37
11	can	wf	MD	can%1|can%2	_	un	38:41
12	interfere	wf	VB	interfere%2	interfere%2:41:01::	man	42:51
13	with	wf	IN	with	_	ignore	52:56
14	normal	wf	JJ	normal%1|normal%3	normal%3:00:01::	man	57:63
15	hearing	wf	NN	hearing%1|hear%2|hearing%3	hearing%1:09:00::	man	64:71
16	and	wf	CC	and	_	ignore	72:75
17	cause	wf	NN	cause%1|cause%2	_	un	76:81
18	other	wf	JJ	other%3	_	un	82:87
19	ear	wf	NN	ear%1	ear%1:08:00::	man	88:91
20	problems	wf	NNS	problem%1	problem%1:26:00::	man	92:100

# text = the main cavity of the ear; between the eardrum and the inner ear
# id = 05324888-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	main	wf	JJ	main%1|main%3	main%5:00:00:important:00	man	4:8
3	cavity	wf	NN	cavity%1	cavity%1:08:00::	man	9:15
4	of	wf	IN	of	_	ignore	16:18
5	the	wf	DT	the	_	ignore	19:22
6	ear	wf	NN	ear%1	ear%1:08:00::	man	23:26
7	;	wf	punc	_	_	ignore	26:27
8	between	wf	IN	between%4	_	un	28:35
9	the	wf	DT	the	_	ignore	36:39
10	eardrum	wf	NN	eardrum%1	eardrum%1:08:00::	auto	40:47
11	and	wf	CC	and	_	ignore	48:51
12	the	wf	DT	the	_	ignore	52:55
13	_	glob|a	_	inner_ear%1	inner_ear%1:08:00::	auto	_
14	inner	cf|a	JJ	inner%3	_	un	56:61
15	ear	cf|a	NN	ear%1	_	un	62:65

# text = the ossicle between the malleus and the stapes
# id = 05326340-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	ossicle	wf	NN	ossicle%1	ossicle%1:08:00::	auto	4:11
3	between	wf	IN	between%4	_	un	12:19
4	the	wf	DT	the	_	ignore	20:23
5	malleus	wf	NN	malleus%1	malleus%1:08:00::	auto	24:31
6	and	wf	CC	and	_	ignore	32:35
7	the	wf	DT	the	_	ignore	36:39
8	stapes	wf	NNS	stapes%1	stapes%1:08:00::	auto	40:46

# text = a tenuous mesoblastic membrane surrounding the lens of the eye
# id = 05326200-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	tenuous	wf	JJ	tenuous%3	tenuous%5:00:00:thin:01	man	2:9
3	mesoblastic	wf	JJ	mesoblastic%3	mesoblastic%3:01:00::	auto	10:21
4	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	22:30
5	surrounding	wf	VBG	surround%2|surrounding%3	_	un	31:42
6	the	wf	DT	the	_	ignore	43:46
7	lens	wf	NN	lens%1	lens%1:08:00::	man	47:51
8	of	wf	IN	of	_	ignore	52:54
9	the	wf	DT	the	_	ignore	55:58
10	eye	wf	NN	eye%1|eye%2	_	un	59:62

# text = the part of the thoracic cavity between the lungs that contains the heart and aorta and esophagus and trachea and thymus
# id = 05324691-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	part	wf	NN	part%1|part%2|part%4	_	un	4:8
3	of	wf	IN	of	_	ignore	9:11
4	the	wf	DT	the	_	ignore	12:15
5	_	glob|a	_	thoracic_cavity%1	thoracic_cavity%1:08:00::	auto	_
6	thoracic	cf|a	JJ	thoracic%3	_	un	16:24
7	cavity	cf|a	NN	cavity%1	_	un	25:31
8	between	wf	IN	between%4	_	un	32:39
9	the	wf	DT	the	_	ignore	40:43
10	lungs	wf	NNS	lung%1	lung%1:08:00::	auto	44:49
11	that	wf	WDT	that	_	ignore	50:54
12	contains	wf	VBZ	contain%2	_	un	55:63
13	the	wf	DT	the	_	ignore	64:67
14	heart	wf	NN	heart%1	heart%1:08:00::	man	68:73
15	and	wf	CC	and	_	ignore	74:77
16	aorta	wf	NN	aorta%1	aorta%1:08:00::	auto	78:83
17	and	wf	CC	and	_	ignore	84:87
18	esophagus	wf	NN	esophagus%1	esophagus%1:08:00::	auto	88:97
19	and	wf	CC	and	_	ignore	98:101
20	trachea	wf	NN	trachea%1	trachea%1:08:01::	man	102:109
21	and	wf	CC	and	_	ignore	110:113
22	thymus	wf	NN	thymus%1	thymus%1:08:00::	auto	114:120

# text = a thin membrane that is one of the calcified layers that form bones
# id = 05326060-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	thin	wf	JJ	thin%2|thin%3|thin%4	_	un	2:6
3	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	7:15
4	that	wf	WDT	that	_	ignore	16:20
5	is	wf	VBZ	i%1|be%2	_	un	21:23
6	one	wf	CD	one	_	ignore	24:27
7	of	wf	IN	of	_	ignore	28:30
8	the	wf	DT	the	_	ignore	31:34
9	calcified	wf	VBN	calcify%2	calcify%2:30:02::	man	35:44
10	layers	wf	NNS	layer%1|layer%2	layer%1:06:00::	man	45:51
11	that	wf	WDT	that	_	ignore	52:56
12	form	wf	VBP	form%1|form%2	form%2:42:00::	man	57:61
13	bones	wf	NNS	bone%1|bones%1|bone%2	bone%1:27:00::	man	62:67

# text = a gland that secretes oil
# id = 05328115-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	gland	wf	NN	gland%1	gland%1:08:00::	auto	2:7
3	that	wf	WDT	that	_	ignore	8:12
4	secretes	wf	VBZ	secrete%2	secrete%2:29:00::	man	13:21
5	oil	wf	NN	oil%1|oil%2	oil%1:27:00::	man	22:25

# text = tissue layer around small blood vessels
# id = 05327652-n-1
# type = def
1	_	glob|b	_	tissue_layer%1	tissue_layer%1:08:00::	auto	_
2	tissue	cf|b	NN	tissue%1|tissue%2	_	un	0:6
3	layer	cf|b	NN	layer%1|layer%2	_	un	7:12
4	around	wf	IN	around%4	_	un	13:19
5	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	20:25
6	_	glob|a	_	blood_vessel%1	blood_vessel%1:08:00::	auto	_
7	blood	cf|a	NN	blood%1|blood%2	_	un	26:31
8	vessels	cf|a	NNS	vessel%1	_	un	32:39

# text = the stirrup-shaped ossicle that transmits sound from the incus to the cochlea
# id = 05326465-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	stirrup-shaped	wf	JJ	stirrup-shaped%3	stirrup-shaped%5:00:00:formed:00	auto	4:18
3	ossicle	wf	NN	ossicle%1	ossicle%1:08:00::	auto	19:26
4	that	wf	WDT	that	_	ignore	27:31
5	transmits	wf	VBZ	transmit%2	transmit%2:38:00::	man	32:41
6	sound	wf	NN	sound%1|sound%2|sound%3	sound%1:19:00::	man	42:47
7	from	wf	IN	from	_	ignore	48:52
8	the	wf	DT	the	_	ignore	53:56
9	incus	wf	NN	incus%1	incus%1:08:00::	auto	57:62
10	to	wf	TO	to	_	ignore	63:65
11	the	wf	DT	the	_	ignore	66:69
12	cochlea	wf	NN	cochlea%1	cochlea%1:08:00::	auto	70:77

# text = a small opening covered with membrane (especially one in the bone between the middle and inner ear)
# id = 05325378-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	opening	wf	NN	opening%1|open%2|opening%3	opening%1:08:00::	man	8:15
4	covered	wf	VBN	cover%2|covered%3	_	un	16:23
5	with	wf	IN	with	_	ignore	24:28
6	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	29:37
7	(	wf	punc	_	_	ignore	38:39
8	especially	wf	RB	especially%4	_	ignore	39:49
9	one	wf	CD	one	_	ignore	50:53
10	in	wf	IN	in	_	ignore	54:56
11	the	wf	DT	the	_	ignore	57:60
12	bone	wf	NN	bone%1|bone%2|bone%3	bone%1:08:00::	man	61:65
13	between	wf	IN	between%4	_	un	66:73
14	the	wf	DT	the	_	ignore	74:77
15	_	glob|b	_	middle_ear%1	middle_ear%1:08:00::	auto	_
16	middle	cf|b	JJ	middle%1|middle%2|middle%3	_	un	78:84
17	and	wf	CC	and	_	ignore	85:88
18	_	glob|a	_	inner_ear%1	inner_ear%1:08:00::	auto	_
19	inner	cf|a	JJ	inner%3	_	un	89:94
20	ear	cf|a|b	NN	ear%1	_	un	95:98
21	)	wf	punc	_	_	ignore	98:99

# text = mucus-secreting membrane lining all body cavities or passages that communicate with the exterior
# id = 05327134-n-1
# type = def
1	mucus	wf	NN	mucus%1	mucus%1:08:00::	auto	0:5
2	secreting	wf	VBG	secrete%2	secrete%2:29:00::	man	6:15
3	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	16:24
4	lining	wf	VBG	lining%1|line%2	_	un	25:31
5	all	wf	DT	all%3|all%4	_	un	32:35
6	_	glob|a	_	bodily_cavity%1	bodily_cavity%1:08:00::	man	_
7	body	cf|a	NN	body%1|body%2	_	un	36:40
8	cavities	cf|a	NNS	cavity%1	_	un	41:49
9	or	wf	CC	or	_	ignore	50:52
10	passages	wf	NNS	passage%1	passage%1:08:00::	man	53:61
11	that	wf	WDT	that	_	ignore	62:66
12	communicate	wf	VB	communicate%2	_	un	67:78
13	with	wf	IN	with	_	ignore	79:83
14	the	wf	DT	the	_	ignore	84:87
15	exterior	wf	NN	exterior%1|exterior%3	exterior%1:15:01::	man	88:96

# text = either of the paired tubes connecting the middle ears to the nasopharynx; equalizes air pressure on the two sides of the eardrum
# id = 05325153-n-1
# type = def
1	either	wf	CC	either	_	ignore	0:6
2	of	wf	IN	of	_	ignore	7:9
3	the	wf	DT	the	_	ignore	10:13
4	paired	wf	JJ	pair%2|paired%3	_	un	14:20
5	tubes	wf	NNS	tube%1|tube%2	tube%1:08:00::	man	21:26
6	connecting	wf	VBG	connect%2	_	un	27:37
7	the	wf	DT	the	_	ignore	38:41
8	_	glob|a	_	middle_ear%1	middle_ear%1:08:00::	auto	_
9	middle	cf|a	JJ	middle%1|middle%2|middle%3	_	un	42:48
10	ears	cf|a	NNS	ear%1	_	un	49:53
11	to	wf	TO	to	_	ignore	54:56
12	the	wf	DT	the	_	ignore	57:60
13	nasopharynx	wf	NN	nasopharynx%1	nasopharynx%1:08:00::	auto	61:72
14	;	wf	punc	_	_	ignore	72:73
15	equalizes	wf	VB	equalize%2	equalize%2:30:00::	man	74:83
16	_	glob|b	_	air_pressure%1	air_pressure%1:19:00::	auto	_
17	air	cf|b	NN	air%1|air%2	_	un	84:87
18	pressure	cf|b	NN	pressure%1|pressure%2	_	un	88:96
19	on	wf	IN	on	_	ignore	97:99
20	the	wf	DT	the	_	ignore	100:103
21	two	wf	CD	two	_	ignore	104:107
22	sides	wf	NNS	side%1|side%2	side%1:15:00::	man	108:113
23	of	wf	IN	of	_	ignore	114:116
24	the	wf	DT	the	_	ignore	117:120
25	eardrum	wf	NN	eardrum%1	eardrum%1:08:00::	auto	121:128

# text = one of three tube loops filled with fluid and in planes nearly at right angles with one another; concerned with equilibrium
# id = 05323228-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	three	wf	CD	three	_	ignore	7:12
4	tube	wf	NN	tube%1|tube%2	tube%1:08:00::	man	13:17
5	loops	wf	NNS	loop%1|loop%2	loop%1:25:00::	man	18:23
6	filled	wf	VBN	fill%2|filled%3	_	un	24:30
7	with	wf	IN	with	_	ignore	31:35
8	fluid	wf	NN	fluid%1|fluid%3	fluid%1:27:02::	man	36:41
9	and	wf	CC	and	_	ignore	42:45
10	in	wf	IN	in	_	ignore	46:48
11	planes	wf	NNS	plane%1|plane%2	plane%1:25:00::	man	49:55
12	nearly	wf	RB	nearly%4	nearly%4:02:00::	man	56:62
13	at	wf	IN	at	_	ignore	63:65
14	_	glob|a	_	right_angle%1	right_angle%1:25:00::	man	_
15	right	cf|a	JJ	right%1|right%2|right%3|right%4	_	un	66:71
16	angles	cf|a	NNS	angle%1|angle%2	_	un	72:78
17	with	wf	IN	with	_	ignore	79:83
18	one	wf	PRP	one%1|one%3	_	ignore	84:87
19	another	wf	PRP	another	_	ignore	88:95
20	;	wf	punc	_	_	ignore	95:96
21	concerned	wf	VBN	concern%2|concerned%3	concern%2:42:00::	man	97:106
22	with	wf	IN	with	_	ignore	107:111
23	equilibrium	wf	NN	equilibrium%1	equilibrium%1:09:00::	man	112:123

# text = a membrane (one of 3) that envelops the brain and spinal cord
# id = 05326900-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	2:10
3	(	wf	punc	_	_	ignore	11:12
4	one	wf	CD	one	_	ignore	12:15
5	of	wf	IN	of	_	ignore	16:18
6	3	wf	CD	3	_	ignore	19:20
7	)	wf	punc	_	_	ignore	20:21
8	that	wf	WDT	that	_	ignore	22:26
9	envelops	wf	VBZ	envelop%2	envelop%2:35:00::	man	27:35
10	the	wf	DT	the	_	ignore	36:39
11	brain	wf	NN	brain%1|brain%2	brain%1:08:00::	man	40:45
12	and	wf	CC	and	_	ignore	46:49
13	_	glob|a	_	spinal_cord%1	spinal_cord%1:08:00::	auto	_
14	spinal	cf|a	JJ	spinal%1|spinal%3	_	un	50:56
15	cord	cf|a	NN	cord%1|cord%2	_	un	57:61

# text = the system that makes food absorbable into the body
# id = 05329215-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	system	wf	NN	system%1	_	un	4:10
3	that	wf	WDT	that	_	ignore	11:15
4	makes	wf	VBZ	make%1|make%2	make%2:30:00::	man	16:21
5	food	wf	NN	food%1	_	un	22:26
6	absorbable	wf	JJ	absorbable%3	absorbable%3:00:00::	auto	27:37
7	into	wf	IN	into	_	ignore	38:42
8	the	wf	DT	the	_	ignore	43:46
9	body	wf	NN	body%1|body%2	body%1:08:00::	man	47:51

# text = a long sebaceous gland that lubricates the eyelids; 
# id = 05328508-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	long	wf	JJ	long%2|long%3|long%4	long%3:00:01::	man	2:6
3	_	glob|a	_	sebaceous_gland%1	sebaceous_gland%1:08:00::	auto	_
4	sebaceous	cf|a	JJ	sebaceous%3	_	un	7:16
5	gland	cf|a	NN	gland%1	_	un	17:22
6	that	wf	WDT	that	_	ignore	23:27
7	lubricates	wf	VB	lubricate%2	lubricate%2:30:02::	man	28:38
8	the	wf	DT	the	_	ignore	39:42
9	eyelids	wf	NNS	eyelid%1	eyelid%1:08:00::	auto	43:50
10	;	wf	punc	_	_	ignore	50:51

# text = bacterial infection of a Meibomian gland produces a stye
# id = 05328508-n-2
# type = ex
1	bacterial	wf	_	bacterial%3	_	un	0:9
2	infection	wf	_	infection%1	_	un	10:19
3	of	wf	_	of	_	ignore	20:22
4	a	wf	_	a	_	ignore	23:24
5	_	glob|b	_	Meibomian_gland%1	meibomian_gland%1:08:00::	auto	_
6	Meibomian	cf|b	_	Meibomian	_	un	25:34
7	gland	cf|b	_	gland%1	_	un	35:40
8	produces	wf	_	produce%1|produce%2	_	un	41:49
9	a	wf	_	a	_	ignore	50:51
10	stye	wf	_	stye%1	_	un	52:56

# text = a cutaneous gland that secretes sebum (usually into a hair follicle) for lubricating hair and skin
# id = 05328232-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	cutaneous	wf	JJ	cutaneous%3	cutaneous%3:01:00::	auto	2:11
3	gland	wf	NN	gland%1	gland%1:08:00::	auto	12:17
4	that	wf	WDT	that	_	ignore	18:22
5	secretes	wf	VBZ	secrete%2	secrete%2:29:00::	man	23:31
6	sebum	wf	NN	sebum%1	sebum%1:08:00::	auto	32:37
7	(	wf	punc	_	_	ignore	38:39
8	usually	wf	RB	usually%4	usually%4:02:00::	auto	39:46
9	into	wf	IN	into	_	ignore	47:51
10	a	wf	DT	a	_	ignore	52:53
11	_	glob|a	_	hair_follicle%1	hair_follicle%1:08:00::	auto	_
12	hair	cf|a	NN	hair%1	_	un	54:58
13	follicle	cf|a	NN	follicle%1	_	un	59:67
14	)	wf	punc	_	_	ignore	67:68
15	for	wf	IN	for	_	ignore	69:72
16	lubricating	wf	VBG	lubricate%2	lubricate%2:30:02::	man	73:84
17	hair	wf	NN	hair%1	hair%1:08:00::	man	85:89
18	and	wf	CC	and	_	ignore	90:93
19	skin	wf	NN	skin%1|skin%2	skin%1:08:00::	man	94:98

# text = any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream
# id = 05327767-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	various	wf	JJ	various%3	_	un	7:14
4	organs	wf	NNS	organ%1|organs%1	organ%1:08:00::	man	15:21
5	that	wf	WDT	that	_	ignore	22:26
6	synthesize	wf	VB	synthesize%2	_	un	27:37
7	substances	wf	NNS	substance%1	_	un	38:48
8	needed	wf	VBN	need%2|needed%3	need%2:34:00::	man	49:55
9	by	wf	IN	by	_	ignore	56:58
10	the	wf	DT	the	_	ignore	59:62
11	body	wf	NN	body%1|body%2	body%1:08:00::	man	63:67
12	and	wf	CC	and	_	ignore	68:71
13	release	wf	VB	release%1|release%2	_	un	72:79
14	it	wf	PRP	it	_	ignore	80:82
15	through	wf	IN	through%3|through%4	_	un	83:90
16	ducts	wf	NNS	duct%1	duct%1:08:00::	man	91:96
17	or	wf	CC	or	_	ignore	97:99
18	directly	wf	RB	directly%4	directly%4:02:05::	man	100:108
19	into	wf	IN	into	_	ignore	109:113
20	the	wf	DT	the	_	ignore	114:117
21	bloodstream	wf	NN	bloodstream%1	bloodstream%1:08:00::	auto	118:129

# text = a gland that secretes externally through a duct
# id = 05328867-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	gland	wf	NN	gland%1	gland%1:08:00::	auto	2:7
3	that	wf	WDT	that	_	ignore	8:12
4	secretes	wf	VBZ	secrete%2	secrete%2:29:00::	man	13:21
5	externally	wf	RB	externally%4	externally%4:02:00::	man	22:32
6	through	wf	IN	through%3|through%4	_	un	33:40
7	a	wf	DT	a	_	ignore	41:42
8	duct	wf	NN	duct%1	duct%1:08:00::	man	43:47

# text = one of the sebaceous glands on the areolae of the breast that lubricate the breast during breast-feeding
# id = 05328695-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	_	glob|a	_	sebaceous_gland%1	sebaceous_gland%1:08:00::	auto	_
5	sebaceous	cf|a	JJ	sebaceous%3	_	un	11:20
6	glands	cf|a	NNS	gland%1	_	un	21:27
7	on	wf	IN	on	_	ignore	28:30
8	the	wf	DT	the	_	ignore	31:34
9	areolae	wf	NN	areola%1	areola%1:08:01::	man	35:42
10	of	wf	IN	of	_	ignore	43:45
11	the	wf	DT	the	_	ignore	46:49
12	breast	wf	NN	breast%1|breast%2	_	un	50:56
13	that	wf	WDT	that	_	ignore	57:61
14	lubricate	wf	VB	lubricate%2	lubricate%2:30:02::	man	62:71
15	the	wf	DT	the	_	ignore	72:75
16	breast	wf	NN	breast%1|breast%2	_	un	76:82
17	during	wf	IN	during	_	ignore	83:89
18	_	glob|b	_	breast_feeding%1	breast_feeding%1:04:00::	man	_
19	breast	cf|b	NN	breast%1|breast%2	_	un	90:96
20	feeding	cf|b	NN	feeding%1|feed%2	_	un	97:104

# text = located near the base of the neck
# id = 05330244-n-1
# type = def
1	located	wf	VBN	locate%2|located%3	_	un	0:7
2	near	wf	IN	near%2|near%3|near%4	near%4:02:01::	man	8:12
3	the	wf	DT	the	_	ignore	13:16
4	base	wf	NN	base%1|base%2|base%3	_	un	17:21
5	of	wf	IN	of	_	ignore	22:24
6	the	wf	DT	the	_	ignore	25:28
7	neck	wf	NN	neck%1|neck%2	neck%1:08:00::	man	29:33

# text = any of the glands in the skin that secrete perspiration
# id = 05330659-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	glands	wf	NNS	gland%1	gland%1:08:00::	auto	11:17
5	in	wf	IN	in	_	ignore	18:20
6	the	wf	DT	the	_	ignore	21:24
7	skin	wf	NN	skin%1|skin%2	skin%1:08:00::	man	25:29
8	that	wf	WDT	that	_	ignore	30:34
9	secrete	wf	VB	secrete%2	secrete%2:29:00::	man	35:42
10	perspiration	wf	NN	perspiration%1	perspiration%1:08:00::	man	43:55

# text = any one of four endocrine glands situated above or within the thyroid gland
# id = 05330365-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	one	wf	CD	one	_	ignore	4:7
3	of	wf	IN	of	_	ignore	8:10
4	four	wf	CD	four	_	ignore	11:15
5	_	glob|a	_	endocrine_gland%1	endocrine_gland%1:08:00::	auto	_
6	endocrine	cf|a	JJ	endocrine%1|endocrine%3	_	un	16:25
7	glands	cf|a	NNS	gland%1	_	un	26:32
8	situated	wf	VBN	situate%2|situated%3	situate%2:42:00::	man	33:41
9	above	wf	IN	above%1|above%3|above%4	_	un	42:47
10	or	wf	CC	or	_	ignore	48:50
11	within	wf	IN	within%4	_	un	51:57
12	the	wf	DT	the	_	ignore	58:61
13	_	glob|b	_	thyroid_gland%1	thyroid_gland%1:08:00::	auto	_
14	thyroid	cf|b	JJ	thyroid%1|thyroid%3	_	un	62:69
15	gland	cf|b	NN	gland%1	_	un	70:75

# text = the system of glands that produce endocrine secretions that help to control bodily metabolic activity
# id = 05329533-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	system	wf	NN	system%1	_	un	4:10
3	of	wf	IN	of	_	ignore	11:13
4	glands	wf	NNS	gland%1	gland%1:08:00::	auto	14:20
5	that	wf	WDT	that	_	ignore	21:25
6	produce	wf	VBP	produce%1|produce%2	produce%2:36:03::	man	26:33
7	endocrine	wf	JJ	endocrine%1|endocrine%3	endocrine%3:01:00::	man	34:43
8	secretions	wf	NNS	secretion%1	secretion%1:08:00::	man	44:54
9	that	wf	WDT	that	_	ignore	55:59
10	help	wf	VB	help%1|help%2	_	un	60:64
11	to	wf	TO	to	_	ignore	65:67
12	control	wf	VB	control%1|control%2	_	un	68:75
13	bodily	wf	JJ	bodily%3|bodily%4	bodily%5:00:00:physical:00|bodily%3:01:01::	man	76:82
14	metabolic	wf	JJ	metabolic%3	metabolic%3:01:00::	man	83:92
15	activity	wf	NN	activity%1	_	un	93:101

# text = any of the glands of the endocrine system that secrete hormones directly into the bloodstream
# id = 05329735-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	glands	wf	NNS	gland%1	gland%1:08:00::	auto	11:17
5	of	wf	IN	of	_	ignore	18:20
6	the	wf	DT	the	_	ignore	21:24
7	_	glob|a	_	endocrine_system%1	endocrine_system%1:08:00::	auto	_
8	endocrine	cf|a	JJ	endocrine%1|endocrine%3	_	un	25:34
9	system	cf|a	NN	system%1	_	un	35:41
10	that	wf	WDT	that	_	ignore	42:46
11	secrete	wf	VB	secrete%2	secrete%2:29:00::	man	47:54
12	hormones	wf	NNS	hormone%1	hormone%1:08:00::	auto	55:63
13	directly	wf	RB	directly%4	directly%4:02:05::	man	64:72
14	into	wf	IN	into	_	ignore	73:77
15	the	wf	DT	the	_	ignore	78:81
16	bloodstream	wf	NN	bloodstream%1	bloodstream%1:08:00::	auto	82:93

# text = any of the glands in the eyes that secrete tears
# id = 05331653-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	glands	wf	NNS	gland%1	gland%1:08:00::	auto	11:17
5	in	wf	IN	in	_	ignore	18:20
6	the	wf	DT	the	_	ignore	21:24
7	eyes	wf	NNS	eye%1|eyes%1|eye%2	eye%1:08:00::	man	25:29
8	that	wf	WDT	that	_	ignore	30:34
9	secrete	wf	VB	secrete%2	secrete%2:29:00::	man	35:42
10	tears	wf	NNS	tear%1|tears%1|tear%2	tear%1:08:01::	man	43:48

# text = a dense fibrous membrane covering the surface of bones (except at their extremities) and serving as an attachment for tendons and muscles; contains nerves and blood vessels that nourish the enclosed bone
# id = 05327373-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	dense	wf	JJ	dense%3	dense%5:00:00:impenetrable:00	man	2:7
3	fibrous	wf	JJ	fibrous%3	fibrous%5:00:02:tough:01	man	8:15
4	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	16:24
5	covering	wf	VBG	covering%1|cover%2	_	un	25:33
6	the	wf	DT	the	_	ignore	34:37
7	surface	wf	NN	surface%1|surface%2|surface%3	surface%1:15:00::	man	38:45
8	of	wf	IN	of	_	ignore	46:48
9	bones	wf	NNS	bone%1|bones%1|bone%2	bone%1:08:00::	man	49:54
10	(	wf	punc	_	_	ignore	55:56
11	except	wf	IN	except%2	_	un	56:62
